id,Medicine Name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,Condition,User,Date,Rating,Content,reference,food_interactions__001,food_interactions__002,food_interactions__003,food_interactions__004,food_interactions__005,food_interactions__006,food_interactions__007,food_interactions__008,Substitute
,Fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premenstrual Dysphoric Disorder,Babso...,29-Mar-09,No rating available,"Sarafem (fluoxetine)""I cried for no reason for 3 weeks straight.  Doctor put me on Sarafem (fluoxetine). Feel much better. Haven't shed a tear since. I've been on this medicine for 3 years. No more blues.""",,,,,,,,,,
,Levocetirizine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allergies,Female,3-Dec-19,10,"Xyzal (levocetirizine)""I have been using Xyxal for over a year with wonderful results. Other medications were no longer effective (Allegra, Rhinocourt, Zyrtec) This has kept all my seasonal and environmental allergies under control.  I am very thankful for this product. I haven’t had any of the side effects""",,,,,,,,,,
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Utibye,25-Jul-18,9,"Macrobid (nitrofurantoin)"" I am the exception of people reviewing macrobid .  Lucky me! I took this for my UTI and has been the most effective one to deal with an extremely persistent one and also in my case, with the exception of drowsiness and intense need to sleep, was asymptomatic.""",,,,,,,,,,Ciprofloxacin
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Anxiety Disorder,Anon,26-Nov-14,10,"Zoloft (sertraline)""Did NOT want to take meds, but I am so glad I finally hit rock bottom and decided Zoloft was an option worth considering. Seriously, it has completely changed my life. As long as you have a reputable therapist/doctor giving you the meds, there should be no major issues. Had some problems with sleep at first, but I started taking melatonin at night and now it's all good.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Sam,16-Dec-20,9,"Zoloft (sertraline)""Have been on Bupropion 300mg for about a year for Depression/anxiety/SAD, which helped SAD and general dysphoria. Spoke to therapist about anxiety of selling home and loss of work due to age and he prescribed 150mg Zoloft which made me lethargic and disinterested in activities. Have gone to 75mg, better alertness, although some constipation, unsure if it's from Zoloft or bupropion. Anxiety and depression reduced overall.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Omeprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERD,Cathe...,14-Dec-21,1,"""After the first day started to feel dizzy and a bit unbalanced in the head.  Now at day 4 and feel like total rubbish, I feel shivery, have bit of a head ache, stomach is still sore from what dr thinks is Gastritis so have had no relieve from belching or acid reflux either.  Muscles feel achy and my throat feels a bit sore and have bit of a dry cough.  Could be GERD getting worse but I’ve cut out coffee and alcohol and eating smaller meals.""",,,,,,,,,,Pantoprazole
,Fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety and Stress,Suici...,20-May-16,3,"Prozac (fluoxetine)""Been on this for a few weeks now and I feel no better than I did before I started taking this.. Gained weight and getting severe migraines..""",,,,,,,,,,
,Diclofenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back Pain,Mark,24-Jun-20,10,"""Prescribed and take diclofenac 50mg twice a day. Was in total low back spasm (L4 disc issues). Spasm and pain gone in 2 days. Awesome drug.""",,,,,,,,,,
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Bladder infection,funlo...,24-Mar-11,1,"Macrobid (nitrofurantoin)""I took Macrobid for the second time in 10 yrs told the doctor about how I am allergic to it and he said you will be fine. Took 1 tablet Tuesday night and for the next 5 hrs I was throwing up, passing out and diarrhea all at the same time. This is not for me.""",,,,,,,,,,Ciprofloxacin
,Omeprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERD,BreeG,31-Oct-15,No rating available,"""I began taking Omeprazole a few years ago due to Gerd.  Recently I was diagnosed with IBS with constipation, some cramping, pain. I had an Upper GI (EGD), polyps were found in the body of stomach and fundus and also gastric polyps were found. Luckily results were good, not the pre-c type.  Doctors should be made to have to give you a warning about this before starting the medication.  I'm going to wean myself off of this poison.""",,,,,,,,,,Pantoprazole
,Ibuprofen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Period Pain,nisha,31-Dec-19,8,"""it helped my cramps go for a couple of hours but a little while after I took it I fell asleep...""",,,,,,,,,,Diclofenac
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety and StressOff-label,joani...,21-Jan-23,7,"""I have been on sertraline for a number of years but 5 years ago my anxiety came back so the doctor put my medication up from 50mg to 100mgs. I have been on the higher dose for 5 years but my partner suddenly passed over I felt terrible shaking palpitations then I got horrendous thoughts. My doctor has put my medication up to 200mg I have been on this dose for 3 weeks a big improvement but  I still get bad anxiety. I am going to try to stick with this longer, after reading reviews that it can take longer to start working""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety Disorder,Cloud...,6-Oct-21,10,"""I'm almost 3 weeks in on escitalopram and the clenched jaw, nausea and 'foggy head' have almost gone. In their place is a far calmer, collected me. I hadn't realised that I needed these pills until I look back at how I would build up all my issues and just cry them out at the most inappropriate times. I still have the issues that drove me to the doctors in the first place - poorly parent, horrendously busy job etc but I feel as though I can box up the tasks in my head and deal with them one by one, without getting overwhelmed. The anger, resentment and guilt that I mostly directed at myself has definitely calmed down and I can certainly see clearer. I don't feel in any way spaced out or 'changed', I just feel a far better version of myself. Definitely worth those early day side effects, although I have to admit, they weren't pleasant. The foggyness was horrendous.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panic Disorder,Changed...,19-Oct-23,8,"""I've been on sertraline for around two months now. I suffered with OCD and generalized anxiety for pretty much my whole life. I read so many negative reviews about sertraline, and it really put me off taking it. I was really concerned about the nausea people reported, as well as increased anxiety. While I did feel a bit more anxious than usual, it wasn't like that 24/7. It was just moments of heightened anxiety, and I only experienced very mild nausea when I first started. If you're scared to start sertraline, just know that it affects everyone differently, and if it's not for you, you don't have to stay on it. So far, it's really changed my life and got me out of a depressive state I was stuck in for months!""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsessive Compulsive DisorderOff-label,DTrout,24-Aug-17,10,"""I have had relationship centered OCD as long as I can remember, centering around the most important people in my life. I finally made the steps to seek out help and was prescribed 10mg of escitalopram about a month ago. I was worried about taking a medication that I feared would alter the way I think (but that's the point I guess!) but figured that I had been living with obsessive and intrusive thoughts for about 15 years, so I might as well try it. Wow. I feel so wonderful all the time. When I get intrusive thoughts, it is much easier to brush off because I don't feel crippling anxiety; I feel like I can think more clearly about what is rational and what isn't. I had no side effects and feel like now I can enjoy life better.""",,,,,,,,,,
,Pantoprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERD,Sucks,17-Jun-21,1,"""This drug was horrible for me.  I woke up at 2:30 in the morning to use the restroom and was unable to go to sleep after.  Racing thoughts which kept compiling into more racing, anxious thoughts about things I shouldn’t even be anxious about.   My anxiety was through the roof, and I don’t have any meds for anxiety.  Constantly needing to use the restroom and nausea, vomiting was constant. A whole day wasted from no sleep.  This drug did not help me at all, it made my life worse.    I am going to try a probiotic instead in addition to the Pepcid another poster recommended.""",,,,,,,,,,
,Fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,ellal...,23-Jul-10,10,"""I have been taking fluoxetine for 3 months and it's the best thing I have done. It has helped me get through a bad time. I have had some bad days but I do have more good ones and I have just gone back too work, which I don't think I would have if I didn't take them.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety Disorder,G0128,21-Aug-16,10,"Lexapro (escitalopram)""This medication has forever changed my life, it has possibly saved my marriage and relationship with my kids. I am a person who suffers from anxiety and severe mood swings. Before Lexapro I would snap at anything, little things would trigger anxiety attacks and that would lead to depression. My first week on Lexapro was not to bad I had some nausea, felt jittery at times, restlessness at night, and yawning uncontrollably. But I noticed right away and so did my husband that I was more at ease, happier, and was able to blow things off that would of made me blow up before. The pros out weighed the bad for me. So far I have been enjoying life more, laughing with my kids more often and not focusing so much on the little things.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Buckby...,28-Jan-21,5,"""I was diagnosed with depression a few months back and prescribed 50mg Sertraline. As others have described, I started on these when it seemed like my life was falling apart around me. Bit by bit, I have been trying to get myself back on track, but I noticed I really lacked focus, motivation and a general desire to do anything. Things I used to enjoy became a chore, my house is my palace and it hadn't been cleaned for months, I simply didn't feel like me, I felt as if I was wearing a heavy blanket which weighed me down, fogged my mind and literally blurred my vision.  I stopped taking the meds at the start of the week, now on day 3 I have cleaned my house and planning to go for a run later, something I simply would not have contemplated last week - only 3 days I know, but I feel like I have found myself again - I won't be taking any more, they just dampened my emotions when things were really bad, but now I would rather feel something than nothing at all......""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety DisorderOff-label,Bonza,13-Feb-19,9,"""From a male point of view sertraline =chemical castration certainly defeats the object it's making anxiety worse""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety DisorderOff-label,Fred,17-Jan-22,8,"""Male 37 years old. Try Cipralex 10 mg for 48 hours which was the worst days of my life. Looks like a serotonin syndrome. My GP made me try sertraline instead. Starts at 25 mg after one week I upgrade to 50mg, after a couple of days I decided to get back at 25mg because of extreme agitation in the morning and other side effects. It start to make a difference I would say after 6 complete weeks and I'm at almost 9 complete weeks and it goes better by the time, better mood but nothing disconnected from a normal mood, which this is what I wanted. I got, over the course of these weeks, a lot of side effect, the main one was Insomnia, it finally go away but it take time (about 6 weeks). Feel less and less agitated in the morning. Still stuck with loose stools every morning but if this the only remaining side effect I will live with it.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Nitrofurantoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urinary Tract Infection,Puggles,22-Feb-22,1,"Macrobid (nitrofurantoin)""Blurred vision, dilated pupils, red irritated eyes, headache, sore/dry throat, pain in right side. I'm hoping my vision returns to normal this is day 3 now of blurred vision feels like when you have your eyes dilated only much longer and more frightening wondering what effects and how long. I am feeling anxious the vision problems are not helping with this. I'm concerned and thinking this is a dangerous drug and maybe the dosage too is too high or just simply a dangerous drug. Oh, I still feel the UTI symptoms too. I was in the first half of my prescription when this started, I've called the doctor and have not heard back I plan to call or go tomorrow.  Please use caution if you are prescribed please use care if you are prescribing it and pharmacist please go over that this does indeed have dangerous side effects.""",,,,,,,,,,Ciprofloxacin
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Leecie,16-May-19,No rating available,"""It  has just been 2 days since I started  taking it so I don't know if it helps but only thing is that I feel like my skin is on fire. And my thoughts  are running more.""",,,,,,,,,,
,Liothyronine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Underactive Thyroid,2Hope,18-May-22,1,"""1st time user. Hashimoto's diagnosis. Dr prescribed 10mcg per day. Having a bad feeling about the dose I took only half of the dose and I am glad I did because the side effects were immediate and strong. My heart was racing, I couldn't concentrate at all, as if I had ADHD. I've been extremely thirsty despite appropriate hydration. Day 2 and now I have a rash on my legs and torso. 
I am quitting this treatment right now.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Pee...,24-Apr-14,10,"Lexapro (escitalopram)""Best thing to happen to me. Wish I would have done this years ago.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Lawman,21-Oct-19,9,"Lexapro (escitalopram)""After 27 years as I police officer I retired. I have PTSD. The one shooting I was involved in, the dead bodies and  all the other LE activities  that comes with the job left me paranoid. I kept dreaming about more shooting, fighting in my sleep, EXTREME anger issues and of trusted  with anyone wearing all black. 

After five weeks on Lexapro everything changed for the best. My family and I get alone much better. I’m no longer jumping and fighting in my sleep and I’m learning that just because people are wearing all black they are not committing a crime. 

The downside I’m not as interested in things like I use to be. My sex drive has went down and I do have a “ I don’t care attitude.” 

My wife wants me to stop taking Lexapro, because she said I’m too quiet. I want to stay on it because it feels good not to be angry all the time.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Jonat...,20-Feb-20,2,"""I started Sertraline 2 years ago after taking Fluoxetine.  I had awful anxiety on Fluoxetine.  Initially I was on 50mg  Sertraline which wasn't great went up to 100mg  Sertraline and within a month I'd gained 2 stone despite no dietary changes at all.  As time went on I've experienced extreme bloating, gastric reflux, continued weight gain, elevated liver enzymes, elevated Cholesterol and decreased motivation.  An incessant cough also plagues me despite seeing my GP there has been no help because they cannot see a reason for it.  This medication has ruined my health, my stomach and throat abs everything else.  I do not recommend this medication.  My depression and anxiety have not improved at all with this medication I am unable to work.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obsessive Compulsive Disorder,Logan...,4-Jul-13,10,"Zoloft (sertraline)""Zoloft has saved my life. I have been on Zoloft 200 mg for 7 months and the results have been amazing. I suffered from severe OCD, anxiety, and mind racing. Zoloft and Abilify 5 mg have completely eliminated my symptoms. I can now live and enjoy my life thanks to Zoloft 200 mg and Abilify 5 mg.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,laurar,2-Jan-17,6,"Lexapro (escitalopram)""After I was diagnosed with Depression and Anxiety, I was prescribed Zoloft 50mg at first. Taking 25mg for a week, and slowly increasing to 50 mg, then 100mg. It was horrible. The first two weeks I ended up restless and could not sleep, I was also shivering and tense during the day. I was then prescribed Lexapro, which helped me get back to my normal sleeping schedule. It did help with my anxiety more, but it did not do much for my depression. My constant hopelessness went away, but I didn't really find the will to commit to goals, motivate myself, and just become more content. I'm really just feeling like I'm in the middle. It's been more than 7 weeks now on Lexapro and I might look to change to something different.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Anonymous,19-Jul-13,10,"Lexapro (escitalopram)""I never comment on these this but I feel this website sharing positive experiences helped me a lot. I had my first panic attack two months ago after a night out. Weeks of having 3-4 panic attacks a day and massive levels of anxiety followed. I tried to carry on with life as normal going to work, etc. and started CBT, which helped me establish it had started due to increased stress from work. I struggled to get on trains, tubes, eating in restaurant's, shopping...pretty much every day to day task. When I was put onto Cipralex and for the first four weeks I had high levels on anxiety, headaches, disassociation, tight chest, chest pains. Now on week 5 on Lexapro I am feeling much better and can do everything I did before with only low levels of anxiety.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Girl...,18-Jul-18,1,"""I’ve had depression for almost two years now. I’ve been doing talk therapy for awhile and at one point I realized I “needed” medication. My doctor prescribed me sertraline and I was on it for a few months. My symptoms included: nausea, nightmares, headaches, low energy, calmness, small appetite, déjà vu, and sadness. On this medication, I was worse than I ever was. I was on the lowest dose so my doctor said it would be okay to just stop taking it. Ever since I’ve been off of it, I am back to how I was before the medication. Through talking to many people, I realized this medication is not for people under the age of 25 because our brains have not fully developed (I’m 18) therefore sertraline is more successful in those older than 25. Please do your research before falling into the same dark spiral I fell into.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Levothyroxine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hypothyroidism, After Thyroid Removal",Jaclyn,27-Feb-20,1,"Tirosint (levothyroxine)""I took my first dose of Tirosint in the morning and within a half hour my ears started ringing and I got a bad headache.  By the time it was bedtime I felt so nervous and shaky that I never fell asleep. It was an awful experience. The next day I went back to my Synthroid.""",,,,,,,,,,Liothyronine
,Omeprazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiatal HerniaOff-label,Linda...,1-Sep-22,1,"""I have really bad symptoms from a hiatal hernia and esophagitis I take 80mg a day and still doesn't work that great I have no quality of life nauseated 24/7 and other horrible symptoms""",,,,,,,,,,Pantoprazole
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,Chris...,18-Jun-17,10,"Lexapro (escitalopram)""I was having horrible anxiety attacks, panic attacks and was border line manic. I was going through a lot of stress and hit my limit. My family urged me to see a Dr who started me on 2.5 lexapro for a week then up to 5 mg the week after. I stayed on 5 mg for 1 month seeing improvements. Eventually I decided to bump up to 7.5 which I'm currently on . I still get anxiety but I am able to feel in control.  I don't have attacks anymore. I'm sleeping better and eating again. Side effects only lasted the first month . I got really tired 20 min after taking it , drowsy, night sweats. Make sure to take it with a snack, I find it hits the stomach like a rock. Over all has given me my life back. And I don't feel like I'm on medication.""",,,,,,,,,,
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Joanne,24-Mar-16,10,"Lexapro (escitalopram)""Lexapro has been a lifesaver!  Started on prozac for 8 weeks but did not work for me.  Doctor switched me to Lexapro 3 weeks ago and I feel calm and relaxed for the first time in a long time. Only taking 20mg but really helps with sleep and making healthy rational decisions. I highly recommend and had no side effects.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety and StressOff-label,Kinsie,8-Jun-17,3,"""I've struggled with anxiety and depression for a long time. By the time I started on sertraline, I felt I was already pretty good at dealing with the depression side of things without medication. This drug made me getting up in the mornings easier. I felt less ""groggy"" than usual when I was on it. Other people noticed that I seemed a bit more positive. The downsides are, that I'd wake up in a bad mood: feeling like I hadn't slept enough or that I'd dreamed too much, and It didn't really make any noticeable difference to my anxiety.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,Kate,16-Nov-13,6,"""Thought I would share my experience about Lexapro here. After transitioning from year 12 into university I started to feel down. I felt anxious throughout year 12 but nothing like how I was feeling in March. I was at my lowest and I wasn't enjoying any of my normal activities I was literally getting up to live a hopeless day. I knew that this feeling wasn't right so I got help. Doc prescribed me 20 mg of Lexapro in combination with counseling. Worked for three months now I'm feeling the side effects. I feel there is a cloud over my brain. I can't feel the emotions good and bad. I can't cry, when I feel I need to. It's stunted my emotional empathy. I also feel extremely tired on it.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalized Anxiety DisorderOff-label,Jourd...,27-Nov-15,9,"""I took sertraline from 2011 for GAD, Panic Disorder, Social Anxiety, and depression caused by anxiety, and eventually weaned off in August of 2015. These past 4 months have been miserable, so I just started back up on it 2 days ago. The first time I was on it, it worked great, it just took some time to get used to. I had forgotten just how bad it was for me during the first month though...  I've taken 2 doses now, the first was 75mg but I reacted very poorly to it so I took only 50mg with the advise of my doctor last night. After an hour of taking the second dose, my anxiety skyrocketed. I hardly slept last night at all because of nightmares and waking up in a panic. It is also causing strong nausea. Thankfully, I know it gets better.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Amlodipine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Blood Pressure,Anonymous,2-Nov-09,8,"""Without taking this my blood pressure was 156 over something. After two weeks it was 132 over something.  I'll take the side effects, a little light headedness, over a stroke any day.  No swelling to report and I've been on this for about 20 days.""",,,,,,,,,,"Losartan, Atenolol"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depression,max,12-Jun-17,1,"""I was on citalopram for about 2 years after I noticed that it stopped working. My psychiatrist prescribed me Sertraline 100mg per day. It went worse for me. I lost nearly every interest and my concentration in school was just awful. After 5 Weeks without improvement I stopped the medication. I slowly reached my normal mindset. I know that the drugs are no wonder pills, but I really hoped for an improvement like on citalopram. I will try out bupropion next week. Hope it will help more.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Losartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Blood Pressure,MsVee...,8-May-16,10,"""I was initially prescribed lisinopril which made me so dizzy and short of breath along with the dreaded cough that all I could do was lay on couch.  After a few days of giving my body a chance to adjust to meds I asked dr for something else. She prescribed Losartan. I immediately felt like my old self with NO side effects whatsoever.""",,,,,,,,,,
,Cetirizine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allergic Rhinitis,Chan,12-Nov-18,3,"Zyrtec (cetirizine)""Works alright on getting rid of allergies I guess but every time I’ve taken it it’s made my throat extremely sore and my voice hurts. It gets so bad it hurts to talk while taking it so I’m finding something else.""",,,,,,,,,,"Loratadine, Levocetirizine"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Anxiety Disorder,Lozab...,16-Jun-16,No rating available,"Zoloft (sertraline)""Started tzking sertraline  8  days ago 25mg for my anxiety. Well so far it has been hard i am experiencing  all side effects increased anxiety, insomnia, nausea, complete loss of appetite, sweating. I am waking up at 5 every morning  with anxiety and have to force myself to go to work. I also take 1/2 a xanax 2-3 times a day. I have 2 teenage  kids and barely able to function ie cook dinner because i feel so nauseous. At times of increased anxiety i feel like i am losing my mind.  Tonight is night 8 and i have been awake  since 1am took 1/2 xanax and still cant sleep. Trying to stick it out but i am really struggling because i have to go to work to pay mortgage. Reading these pages gives me a bit of hope but dont know how long i can last.""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Metformin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycystic Ovary SyndromeOff-label,Anonymous,22-Aug-16,8,"""25 years old - diagnosed with PCOS at 16. Always have been overweight, abnormal hair growth & irregular periods. I'm ""pre-diabetic"" with diabetes on both sides of my family so taking Metformin as a preventative measure. I've been on metformin for 10 days and have already lost 3 pounds with no significant diet change & got my period on my own without having to take medication for the first time in years. Less hungry, especially at night. I did have terrible diarrhea the first few days but that has resolved. Today started with a horrible metallic taste in my mouth which I'm hoping will subside soon because I feel pretty good otherwise! My advice - don't get discouraged with the stomach issues in the beginning - push through!""",,,,,,,,,,"Glimepiride, Sitagliptin"
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premenstrual Dysphoric Disorder,KCano,23-Dec-20,2,"Zoloft (sertraline)""I had to share my experience because it has been awful. I’ve taken zoloft on and off for years for PMDD. While it did help regulate my moods, I’ve had the worst gastrointestinal issues ever since I was prescribed this drug. I finally put 2 and 2 together.

I would be out shopping/at a football game/in my car driving and have to find a bathroom IMMEDIATELY. I would have a sudden and very intense urge to use the restroom. (Think Dumb & Dumber) It was so embarrassing. I would start sweating from the pain. 

Do you know how many unnecessary invasive tests I’ve had done trying to figure out why I can’t control my bowels and they whole time it was this drug?

What good is regulating your moods if you feel like you’re going to poop your pants several times a month???""",,,,,,,,,,"Fluoxetine, Escitalopram"
,Escitalopram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxiety,IREJ,19-Jul-15,5,"Lexapro (escitalopram)""I started to get anxiety when I went back to work. I was prescribed lexapro by my doctor and started 3 days ago.  A lot of the reviews say to keep sticking with it so I plan too. As far as the side effects, I get the nausea and dizziness but it's not so severe that I can't function. I do however, feel like I'm constantly zoning out and just staring out into space sometimes. I do notice I yawn a lot too and my lower jaw feels really tense all the time. Does anyone else have this problem? I'm going to keep sticking with this drug. There is such good reviews once the side effects subside and your body adjusts to it.""",,,,,,,,,,
,Sertraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premenstrual Dysphoric Disorder,123meds,26-Apr-21,10,"""I was taking the pill (lucette) to help manage my PMDD - it worked but also led to weight gain and after nearly 2 years I had enough.  I started on 25mg of sertraline and the side effects passed after a few days. I had some nausea, headaches and was clenching my teeth while sleeping.  Those were the only negative things - it has been great otherwise - I didn't need to increase my dose 25mg daily works fine for me.  I feel mentally lighter and very stable. Hope it can help others too.""",,,,,,,,,,"Fluoxetine, Escitalopram"
